,S.No,Date,Startups,Industry Vertical,Sub Vertical,City,Investors,Round,Amount,Remarks
466,467,21-12-2017,EasyEcom,E-Commerce,Ecommerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,1.2507,Unknown
467,468,21-12-2017,IGP.com,E-Commerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,0.0,Unknown
468,469,26-12-2017,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,83.38,Unknown
469,470,27-12-2017,Garage On Road,E-Commerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,0.0,Unknown
470,471,27-12-2017,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,31.6844,Unknown
471,472,02-11-2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,4.75266,Unknown
472,473,02-11-2017,AadharAPI.com,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,0.0,Unknown
473,474,02-11-2017,FreshBoxx,ECommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,0.0,Unknown
474,475,03-11-2017,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,8.338,Unknown
475,476,03-11-2017,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,0.0,Unknown
476,477,03-11-2017,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,4.169,Unknown
477,478,04-11-2017,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,8.338,Unknown
478,479,06-11-2017,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,0.0,Unknown
479,480,06-11-2017,Leverage Edu,ECommerce,Online platform for Higher Education Services,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,0.0,Unknown
480,481,07-11-2017,Crayon Data,Technology,Customer Engagement Platform,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,0.0,Unknown
481,482,07-11-2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,41.69,Unknown
482,483,07-11-2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,41.69,Unknown
483,484,08-11-2017,TalentEdge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,63.3688,Unknown
484,485,08-11-2017,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,25.014,Unknown
485,486,08-11-2017,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,25.014,Unknown
486,487,08-11-2017,OpenApp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,30.0168,Unknown
487,488,09-11-2017,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,7.270736,Unknown
488,489,09-11-2017,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bangalore,Matrix Partners,Seed Funding,0.0,Unknown
489,490,09-11-2017,Mobiliz AR,Technology,Augmented Reality based Tech platform,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,0.0,Unknown
490,491,10-11-2017,Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,208.45,Unknown
491,492,10-11-2017,Happily Unmarried,ECommerce,Online Gifting platform,Nw Delhi,Wipro Consumer Care,Private Equity,0.0,Unknown
492,493,13-11-2017,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,125.07,Unknown
493,494,14-11-2017,Hungry Foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurgaon,GAIL India Ltd,Seed Funding,0.0,Unknown
494,495,14-11-2017,Active AI,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,68.7885,Unknown
495,496,15-11-2017,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,7.5042,Unknown
496,497,15-11-2017,ElderAid Wellness,Health Care,Social Healthcare Enterprise,Bangalore,Rugmini Menon,Angel Funding,0.0,Unknown
497,498,15-11-2017,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,25.014,Unknown
498,499,15-11-2017,Josh Talks,Inspiration,Storytelling platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,0.0,Unknown
499,500,15-11-2017,Reniso,Technology,End-to-End property management for landlords living away,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,0.0,Unknown
500,501,17-11-2017,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,1.6676,Unknown
501,502,17-11-2017,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,0.0,Unknown
502,503,20-11-2017,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,5.769896,Unknown
503,504,21-11-2017,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,2.74511974,Unknown
504,505,21-11-2017,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,22.5126,Unknown
505,506,21-11-2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,3.3352,Unknown
506,507,21-11-2017,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,2.0845,Unknown
507,508,21-11-2017,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,216.788,Unknown
508,509,21-11-2017,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,0.0,Unknown
509,510,21-11-2017,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,1667.6,Unknown
510,511,22-11-2017,MiStay,Technology,Online Hotel Reservation Platform,Bangalore,Axilor Ventures,Seed/Angel Funding,0.0,Unknown
511,512,23-11-2017,WittyFeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,0.0,Unknown
512,513,24-11-2017,IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,83.38,Unknown
513,514,24-11-2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,2.0845,Unknown
514,515,27-11-2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,2251.26,Unknown
515,516,27-11-2017,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,0.325182,Unknown
516,517,27-11-2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,31.6844,Unknown
517,518,28-11-2017,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,108.394,Unknown
518,519,28-11-2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,12.507,Unknown
519,520,28-11-2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,11.2563,Unknown
520,521,28-11-2017,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,16.676,Unknown
521,522,03-10-2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0.0,Unknown
522,523,03-10-2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,0.0,Unknown
523,524,03-10-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,917.18,Unknown
524,525,04-10-2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,0.0,Unknown
525,526,04-10-2017,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,2.551428,Unknown
526,527,04-10-2017,PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,322.6806,Unknown
527,528,05-10-2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,8.338,Unknown
528,529,05-10-2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,3.7521,Unknown
529,530,05-10-2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,76.7096,Unknown
530,531,06-10-2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,25.8478,Unknown
531,532,06-10-2017,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,66.704,Unknown
532,533,06-10-2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,83.38,Unknown
533,534,06-10-2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,16.676,Unknown
534,535,09-10-2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,0.0,Unknown
535,536,09-10-2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,22.5126,Unknown
536,537,09-10-2017,IBSFintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,0.0,Unknown
537,538,09-10-2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,0.0,Unknown
538,539,09-10-2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,2.801568,Unknown
539,540,09-10-2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,0.0,Unknown
540,541,10-10-2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,11.6732,Unknown
541,542,10-10-2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,37.521,Unknown
542,543,11-10-2017,Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,25.8478,Unknown
543,544,11-10-2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,9.1718,Unknown
544,545,12-10-2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,1.95943,Unknown
545,546,13-10-2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,642.026,Unknown
546,547,13-10-2017,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,2.0845,Unknown
547,548,13-10-2017,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,16.676,Unknown
548,549,16-10-2017,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,66.704,Unknown
549,550,16-10-2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,76.7096,Unknown
550,551,17-10-2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,58.366,Unknown
551,552,18-10-2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,58.366,Unknown
552,553,18-10-2017,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,0.0,Unknown
553,554,18-10-2017,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,64.2026,Unknown
554,555,18-10-2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,4.169,Unknown
555,556,23-10-2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,58.366,Unknown
556,557,23-10-2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,50.028,Unknown
557,558,23-10-2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,25.8478,Unknown
558,559,23-10-2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,0.983884,Unknown
559,560,24-10-2017,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,0.0,Unknown
560,561,24-10-2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,4.169,Unknown
561,562,24-10-2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,25.014,Unknown
562,563,24-10-2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,6.020036,Unknown
563,564,24-10-2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,0.0,Unknown
564,565,25-10-2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0.0,Unknown
565,566,25-10-2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,4.5859,Unknown
566,567,26-10-2017,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,41.69,Unknown
567,568,27-10-2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,31.6844,Unknown
568,569,27-10-2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0.0,Unknown
569,570,28-10-2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,1.00056,Unknown
570,571,28-10-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,64.2026,Unknown
571,572,30-10-2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,16.676,Unknown
572,573,31-10-2017,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,116.732,Unknown
573,574,31-10-2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,266.816,Unknown
574,575,01-09-2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,8.338,Unknown
575,576,01-09-2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,12.507,Unknown
576,577,01-09-2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,10.8394,Unknown
577,578,04-09-2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,46.6928,Unknown
578,579,05-09-2017,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,12.507,Unknown
579,580,05-09-2017,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,5.0028,Unknown
580,581,06-09-2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,89.6335,Unknown
581,582,06-09-2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,83.38,Unknown
582,583,06-09-2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,50.028,Unknown
583,584,06-09-2017,Power2SME,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,216.788,Unknown
584,585,07-09-2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,41.69,Unknown
585,586,07-09-2017,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,Private Equity,0.0,Unknown
586,587,07-09-2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,2084.5,Unknown
587,588,07-09-2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,6.50364,Unknown
588,589,07-09-2017,MamaEarth,eCommerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Funding,0.0,Unknown
589,590,07-09-2017,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,8.338,Unknown
590,591,08-09-2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,57.5322,Unknown
591,592,08-09-2017,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0.0,Unknown
592,593,11-09-2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,250.14,Unknown
593,594,11-09-2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,51.6956,Unknown
594,595,12-09-2017,Sattviko,eCommerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0.0,Unknown
595,596,12-09-2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,0.8338,Unknown
596,597,12-09-2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,141.746,Unknown
597,598,12-09-2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,25.014,Unknown
